# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
216	7.5000000000000000e-01	0	0	72	72	-3	-2.2204460492503131e-16	-2.2204460492503131e-16	-4.1666666666666670e+00	2.3001994514147036e-32	3.5934734830992159e-30
216	7.5000000000000000e-01	0	0	72	72	-2	-2.2204460492503131e-16	-2.2204460492503131e-16	-4.1111111111111107e+00	-1.5562711290765073e-32	-3.9611233008378257e-31
216	7.5000000000000000e-01	0	0	72	72	-1	-2.2204460492503131e-16	-2.2204460492503131e-16	-4.0555555555555554e+00	2.3880548904816934e-34	-1.0912964092785097e-31
216	7.5000000000000000e-01	0	0	72	72	0	-2.2204460492503131e-16	-2.2204460492503131e-16	-4.0000000000000000e+00	1.1484753939216326e-33	4.8189290887014564e-32
216	7.5000000000000000e-01	0	0	72	72	1	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.9444444444444446e+00	2.3880548904809245e-34	-1.0912964092778200e-31
216	7.5000000000000000e-01	0	0	72	72	2	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.8888888888888888e+00	-1.5562711290756378e-32	-3.9611233008358849e-31
216	7.5000000000000000e-01	0	0	72	72	3	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.8333333333333335e+00	2.3001994514130924e-32	3.5934734830971427e-30
216	7.5000000000000000e-01	0	0	72	72	4	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.7777777777777777e+00	3.4684278325030471e-31	2.9716419789647363e-30
216	7.5000000000000000e-01	0	0	72	72	5	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.7222222222222223e+00	-1.2077159295733424e-30	-9.3056912635166309e-29
216	7.5000000000000000e-01	0	0	72	72	6	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.6666666666666665e+00	-6.2444319710009778e-30	9.4705383650417090e-29
216	7.5000000000000000e-01	0	0	72	72	7	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.6111111111111112e+00	3.9445403884080701e-29	2.0193462569920584e-27
216	7.5000000000000000e-01	0	0	72	72	8	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.5555555555555554e+00	8.0062993920798203e-29	-5.5181610216086419e-27
216	7.5000000000000000e-01	0	0	72	72	9	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.5000000000000000e+00	-1.0279335261925829e-27	-3.6691422479431852e-26
216	7.5000000000000000e-01	0	0	72	72	10	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.4444444444444446e+00	-2.2168775779909695e-28	1.7750077787150289e-25
216	7.5000000000000000e-01	0	0	72	72	11	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.3888888888888888e+00	2.2823291036259217e-26	5.3328490871217452e-25
216	7.5000000000000000e-01	0	0	72	72	12	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.3333333333333335e+00	-2.6885380843450019e-26	-4.4805266240798082e-24
216	7.5000000000000000e-01	0	0	72	72	13	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.2777777777777777e+00	-4.4237558345831908e-25	-5.1118600645869619e-24
216	7.5000000000000000e-01	0	0	72	72	14	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.2222222222222223e+00	1.0988957554771487e-24	9.6491897458914636e-23
216	7.5000000000000000e-01	0	0	72	72	15	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.1666666666666665e+00	7.5602001887803300e-24	-1.1431755753235117e-23
216	7.5000000000000000e-01	0	0	72	72	16	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.1111111111111112e+00	-2.9574651069171843e-23	-1.8337196660059889e-21
216	7.5000000000000000e-01	0	0	72	72	17	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.0555555555555558e+00	-1.1376827012492718e-22	2.0499010743537030e-21
216	7.5000000000000000e-01	0	0	72	72	18	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.0000000000000000e+00	6.5273054347166111e-22	3.1442353781704314e-20
216	7.5000000000000000e-01	0	0	72	72	19	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.9444444444444446e+00	1.5156876776538835e-21	-6.1862327899258725e-20
216	7.5000000000000000e-01	0	0	72	72	20	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.8888888888888888e+00	-1.2489162996881038e-20	-4.9194758772506721e-19
216	7.5000000000000000e-01	0	0	72	72	21	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.8333333333333335e+00	-1.7405658596257725e-20	1.3529717580753372e-18
216	7.5000000000000000e-01	0	0	72	72	22	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.7777777777777777e+00	2.1785589856440959e-19	7.2755643429744693e-18
216	7.5000000000000000e-01	0	0	72	72	23	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.7222222222222223e+00	1.9813698769160308e-19	-2.3817834007345012e-17
216	7.5000000000000000e-01	0	0	72	72	24	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.6666666666666670e+00	-3.3498862667914097e-18	-9.9611353085321057e-17
