# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
648	1.0000000000000040e+00	0	0	162	162	-3	-2.2204460492503131e-16	-2.2204460492503131e-16	-4.0740740740740744e+00	1.7167836034324478e-53	5.8864111168408341e-51
648	1.0000000000000040e+00	0	0	162	162	-2	-2.2204460492503131e-16	-2.2204460492503131e-16	-4.0493827160493829e+00	-1.3495586662251441e-53	-6.9149664463266696e-52
648	1.0000000000000040e+00	0	0	162	162	-1	-2.2204460492503131e-16	-2.2204460492503131e-16	-4.0246913580246915e+00	1.4822295123051065e-55	-2.5148706838094507e-52
648	1.0000000000000040e+00	0	0	162	162	0	-2.2204460492503131e-16	-2.2204460492503131e-16	-4.0000000000000000e+00	6.3599041693538276e-55	7.2976609374863524e-53
648	1.0000000000000040e+00	0	0	162	162	1	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.9753086419753085e+00	1.3378701717626495e-54	1.1027275908862637e-52
648	1.0000000000000040e+00	0	0	162	162	2	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.9506172839506171e+00	4.1010313473706881e-55	-4.5841115523517905e-52
648	1.0000000000000040e+00	0	0	162	162	3	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.9259259259259260e+00	-2.3655858760806928e-53	-1.1143657422116693e-51
648	1.0000000000000040e+00	0	0	162	162	4	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.9012345679012346e+00	4.4407877002404723e-53	1.1704852726942818e-50
648	1.0000000000000040e+00	0	0	162	162	5	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.8765432098765431e+00	5.2935634800112062e-52	1.5141292040021130e-50
648	1.0000000000000040e+00	0	0	162	162	6	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.8518518518518521e+00	-7.8351941691767171e-52	-1.9509492920845996e-49
648	1.0000000000000040e+00	0	0	162	162	7	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.8271604938271606e+00	-5.2002231237722571e-51	1.9831231526992530e-49
648	1.0000000000000040e+00	0	0	162	162	8	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.8024691358024691e+00	4.2066677808909145e-50	4.7779544692179763e-48
648	1.0000000000000040e+00	0	0	162	162	9	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.7777777777777777e+00	1.6425921419817947e-49	-1.7286962304356641e-48
648	1.0000000000000040e+00	0	0	162	162	10	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.7530864197530862e+00	-3.3544587848740910e-49	-4.5739787777321463e-47
648	1.0000000000000040e+00	0	0	162	162	11	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.7283950617283952e+00	7.1827555856808092e-49	2.9545968650147679e-46
648	1.0000000000000040e+00	0	0	162	162	12	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.7037037037037037e+00	2.3208336052498226e-47	1.6460674059281383e-45
648	1.0000000000000040e+00	0	0	162	162	13	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.6790123456790123e+00	5.7852946207366161e-47	-9.6097402767268050e-46
648	1.0000000000000040e+00	0	0	162	162	14	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.6543209876543212e+00	2.9512843542761719e-47	3.6205411362088812e-45
648	1.0000000000000040e+00	0	0	162	162	15	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.6296296296296298e+00	1.5780180592567912e-45	1.7896114482142907e-43
648	1.0000000000000040e+00	0	0	162	162	16	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.6049382716049383e+00	1.1632426451125442e-44	6.2459116066224839e-43
648	1.0000000000000040e+00	0	0	162	162	17	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.5802469135802468e+00	3.2555267409362004e-44	7.8236711369634854e-43
648	1.0000000000000040e+00	0	0	162	162	18	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.5555555555555554e+00	1.3507487663723814e-43	1.1437041744954906e-41
648	1.0000000000000040e+00	0	0	162	162	19	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.5308641975308643e+00	1.1862023958721302e-42	9.2520394791560859e-41
648	1.0000000000000040e+00	0	0	162	162	20	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.5061728395061729e+00	6.1329674980509373e-42	3.1548528995714091e-40
648	1.0000000000000040e+00	0	0	162	162	21	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.4814814814814814e+00	2.2645090060167816e-41	1.1526638736440810e-39
648	1.0000000000000040e+00	0	0	162	162	22	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.4567901234567904e+00	1.1828344024078803e-40	8.5789258809291358e-39
648	1.0000000000000040e+00	0	0	162	162	23	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.4320987654320989e+00	7.1769517051383384e-40	4.7200311612976059e-38
648	1.0000000000000040e+00	0	0	162	162	24	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.4074074074074074e+00	3.3638683891349914e-39	1.8357901728694261e-37
648	1.0000000000000040e+00	0	0	162	162	25	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.3827160493827160e+00	1.4549546754808013e-38	8.5703312305927492e-37
648	1.0000000000000040e+00	0	0	162	162	26	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.3580246913580245e+00	7.4815639634754374e-38	4.9269304762145879e-36
648	1.0000000000000040e+00	0	0	162	162	27	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.3333333333333335e+00	3.8767783034671140e-37	2.3727776773306526e-35
648	1.0000000000000040e+00	0	0	162	162	28	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.3086419753086420e+00	1.7742986023906533e-36	1.0119254621940260e-34
648	1.0000000000000040e+00	0	0	162	162	29	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.2839506172839505e+00	8.0608722370596218e-36	4.8434753126311260e-34
648	1.0000000000000040e+00	0	0	162	162	30	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.2592592592592595e+00	3.9333573666259789e-35	2.4405084051184960e-33
648	1.0000000000000040e+00	0	0	162	162	31	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.2345679012345681e+00	1.8801523990116620e-34	1.1148240123813296e-32
648	1.0000000000000040e+00	0	0	162	162	32	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.2098765432098766e+00	8.4689656788901664e-34	4.8946068789602372e-32
648	1.0000000000000040e+00	0	0	162	162	33	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.1851851851851851e+00	3.8294099548110852e-33	2.2714577891498454e-31
648	1.0000000000000040e+00	0	0	162	162	34	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.1604938271604937e+00	1.7746989604561805e-32	1.0585388984743200e-30
648	1.0000000000000040e+00	0	0	162	162	35	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.1358024691358026e+00	8.0494068503946527e-32	4.6736930793740441e-30
648	1.0000000000000040e+00	0	0	162	162	36	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.1111111111111112e+00	3.5391761460670564e-31	2.0322136391170319e-29
648	1.0000000000000040e+00	0	0	162	162	37	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.0864197530864197e+00	1.5567735084312402e-30	9.0306358405319795e-29
648	1.0000000000000040e+00	0	0	162	162	38	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.0617283950617287e+00	6.8783096532210790e-30	3.9774280849546772e-28
648	1.0000000000000040e+00	0	0	162	162	39	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.0370370370370372e+00	2.9842995693375876e-29	1.6963308915061417e-27
648	1.0000000000000040e+00	0	0	162	162	40	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.0123456790123457e+00	1.2694232017391410e-28	7.1616052750619204e-27
648	1.0000000000000040e+00	0	0	162	162	41	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.9876543209876543e+00	5.3761478362133283e-28	3.0379475888098780e-26
648	1.0000000000000040e+00	0	0	162	162	42	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.9629629629629628e+00	2.2669662365241802e-27	1.2731251115664103e-25
648	1.0000000000000040e+00	0	0	162	162	43	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.9382716049382718e+00	9.4099270924765822e-27	5.2175542818827514e-25
648	1.0000000000000040e+00	0	0	162	162	44	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.9135802469135803e+00	3.8447694891130250e-26	2.1160165387559375e-24
648	1.0000000000000040e+00	0	0	162	162	45	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.8888888888888888e+00	1.5582696720439558e-25	8.5489658061529511e-24
648	1.0000000000000040e+00	0	0	162	162	46	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.8641975308641978e+00	6.2614819635144735e-25	3.4090700752107173e-23
648	1.0000000000000040e+00	0	0	162	162	47	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.8395061728395063e+00	2.4793351910914585e-24	1.3347925883592771e-22
648	1.0000000000000040e+00	0	0	162	162	48	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.8148148148148149e+00	9.6731783032539601e-24	5.1637477837633753e-22
648	1.0000000000000040e+00	0	0	162	162	49	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.7901234567901234e+00	3.7335116958191829e-23	1.9806431864700658e-21
648	1.0000000000000040e+00	0	0	162	162	50	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.7654320987654319e+00	1.4251099962477923e-22	7.4939528497155535e-21
648	1.0000000000000040e+00	0	0	162	162	51	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.7407407407407409e+00	5.3608952151242972e-22	2.7876711377898873e-20
648	1.0000000000000040e+00	0	0	162	162	52	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.7160493827160495e+00	1.9865437567936404e-21	1.0228096431573944e-19
648	1.0000000000000040e+00	0	0	162	162	53	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.6913580246913580e+00	7.2671824431730187e-21	3.7096580601878551e-19
648	1.0000000000000040e+00	0	0	162	162	54	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.6666666666666670e+00	2.6244290313995408e-20	1.3262220355596950e-18
648	1.0000000000000040e+00	0	0	162	162	55	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.6419753086419755e+00	9.3359952435785672e-20	4.6618926782812168e-18
648	1.0000000000000040e+00	0	0	162	162	56	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.6172839506172840e+00	3.2691959458147257e-19	1.6136863228674380e-17
648	1.0000000000000040e+00	0	0	162	162	57	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.5925925925925926e+00	1.1281673231658715e-18	5.5093108438972920e-17
648	1.0000000000000040e+00	0	0	162	162	58	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.5679012345679011e+00	3.8375359901123858e-18	1.8524535451002153e-16
648	1.0000000000000040e+00	0	0	162	162	59	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.5432098765432101e+00	1.2849421927921650e-17	6.1219101463881856e-16
648	1.0000000000000040e+00	0	0	162	162	60	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.5185185185185186e+00	4.2314950844018035e-17	1.9892773507382949e-15
648	1.0000000000000040e+00	0	0	162	162	61	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.4938271604938271e+00	1.3712176536783748e-16	6.3639664812220597e-15
648	1.0000000000000040e+00	0	0	162	162	62	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.4691358024691361e+00	4.3740366785178685e-16	2.0033008015025735e-14
648	1.0000000000000040e+00	0	0	162	162	63	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.4444444444444446e+00	1.3724197550464621e-15	6.1950290434329259e-14
648	1.0000000000000040e+00	0	0	162	162	64	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.4197530864197532e+00	4.2318578335238690e-15	1.8813672994198516e-13
648	1.0000000000000040e+00	0	0	162	162	65	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.3950617283950617e+00	1.2824239652850121e-14	5.6160236312261235e-13
648	1.0000000000000040e+00	0	0	162	162	66	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.3703703703703702e+00	3.8209100099890049e-14	1.6480880256848352e-12
648	1.0000000000000040e+00	0	0	162	162	67	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.3456790123456792e+00	1.1189927998393839e-13	4.7495961228183540e-12
648	1.0000000000000040e+00	0	0	162	162	68	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.3209876543209877e+00	3.2187340374593563e-13	1.3430699084844134e-11
648	1.0000000000000040e+00	0	0	162	162	69	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.2962962962962963e+00	9.0905699878843733e-13	3.7278386804880616e-11
648	1.0000000000000040e+00	0	0	162	162	70	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.2716049382716053e+00	2.5214834606906331e-12	1.0162054584590196e-10
648	1.0000000000000040e+00	0	0	162	162	71	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.2469135802469138e+00	6.8698583363682091e-12	2.7197460375794621e-10
648	1.0000000000000040e+00	0	0	162	162	72	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.2222222222222223e+00	1.8378102571090424e-11	7.1402236366117682e-10
648	1.0000000000000040e+00	0	0	162	162	73	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.1975308641975309e+00	4.8249071242287782e-11	1.8381521567804962e-09
648	1.0000000000000040e+00	0	0	162	162	74	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.1728395061728394e+00	1.2429792524451382e-10	4.6420996886892992e-09
648	1.0000000000000040e+00	0	0	162	162	75	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.1481481481481484e+00	3.1428714742242630e-10	1.1504409104584178e-08
648	1.0000000000000040e+00	0	0	162	162	76	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.1234567901234569e+00	7.8004303864319407e-10	2.7970589811490367e-08
648	1.0000000000000040e+00	0	0	162	162	77	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.0987654320987654e+00	1.8998816978165269e-09	6.6673894362044968e-08
648	1.0000000000000040e+00	0	0	162	162	78	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.0740740740740744e+00	4.5393606648567645e-09	1.5577666325098960e-07
